concept,definition,labels,sources
Normalización,Proceso de organización de datos en una base de datos para reducir la redundancia y mejorar la integridad de los datos.,Diseño y Modelado de Bases de Datos,[Elmasri & Navathe (2011). Sistemas de bases de datos. Pearson. (Recomendada por UDG)] 
Modelo Relacional,Modelo de datos basado en la lógica de conjuntos y la teoría relacional.,Diseño y Modelado de Bases de Datos,[Rich & Knight (2009). Artificial intelligence. McGraw Hill.] 
Clave Primaria,Atributo o conjunto de atributos que identifican de manera única a una tupla en una relación.,Diseño y Modelado de Bases de Datos,"[Silberschatz, Korth & Sudarshan (2011). Database system concepts. McGraw Hill.] "
Clave Externa,"Atributo o conjunto de atributos en una tabla que corresponden a la clave primaria de otra tabla, y que se utiliza para establecer relaciones entre tablas.",Diseño y Modelado de Bases de Datos,[Elmasri & Navathe (2017). Fundamentals of Database Systems. Pearson. (Recomendada por UDG)]
Diagrama ER,Representación gráfica del modelo entidad relación.,Diseño y Modelado de Bases de Datos,[Elmasri & Navathe (2011). Sistemas de bases de datos. Pearson. (Recomendada por UDG)] 
Relación (Bases de Datos),Conjunto de tuplas con la misma estructura en el modelo relacional.,Diseño y Modelado de Bases de Datos,"[Silberschatz, Korth & Sudarshan (2011). Database system concepts. McGraw Hill.] "
Dependencia Funcional,Relación que indica que el valor de un conjunto de atributos determina de forma única el valor de otro conjunto de atributos.,Diseño y Modelado de Bases de Datos,[Rich & Knight (2009). Artificial intelligence. McGraw Hill.] 
Forma Normal,Criterio que se utiliza en el proceso de normalización para definir el nivel de normalidad de una relación.,Diseño y Modelado de Bases de Datos,[Elmasri & Navathe (2017). Fundamentals of Database Systems. Pearson. (Recomendada por UDG)]
Modelo Jerárquico,Modelo de datos donde los datos se organizan en una estructura tipo árbol.,Diseño y Modelado de Bases de Datos,"[Silberschatz, Korth & Sudarshan (2011). Database system concepts. McGraw Hill.] "
Modelo de Red,"Modelo de datos donde los datos se organizan en una estructura tipo gráfica, permitiendo relaciones múltiples entre registros.",Diseño y Modelado de Bases de Datos,[Elmasri & Navathe (2017). Fundamentals of Database Systems. Pearson. (Recomendada por UDG)]
Atributo,Característica o propiedad que describe una entidad o relación en un modelo de datos.,Diseño y Modelado de Bases de Datos,[Elmasri & Navathe (2011). Sistemas de bases de datos. Pearson. (Recomendada por UDG)] 
Tupla (Bases de Datos),"Conjunto de atributos relacionados en una base de datos relacional, equivalente a una fila en una tabla.",Diseño y Modelado de Bases de Datos,"[Silberschatz, Korth & Sudarshan (2011). Database system concepts. McGraw Hill.] "
Entidad,Objeto o concepto del mundo real que se desea representar en una base de datos.,Diseño y Modelado de Bases de Datos,[Elmasri & Navathe (2017). Fundamentals of Database Systems. Pearson. (Recomendada por UDG)]
Cardinalidad (Bases de Datos),Número de veces que una entidad de un conjunto se relaciona con una entidad de otro conjunto.,Diseño y Modelado de Bases de Datos,[Elmasri & Navathe (2011). Sistemas de bases de datos. Pearson. (Recomendada por UDG)] 
Dominio,Conjunto de valores válidos para un atributo específico.,Diseño y Modelado de Bases de Datos,"[Silberschatz, Korth & Sudarshan (2011). Database system concepts. McGraw Hill.] "
Integridad Referencial,Regla que garantiza que las relaciones entre tablas se mantengan consistentemente.,Diseño y Modelado de Bases de Datos,[Rich & Knight (2009). Artificial intelligence. McGraw Hill.] 
Restricción,Regla que se aplica a los datos en una base de datos para mantener su integridad.,Diseño y Modelado de Bases de Datos,[Elmasri & Navathe (2017). Fundamentals of Database Systems. Pearson. (Recomendada por UDG)]
Modelo Semántico,Modelo de datos que se centra en la representación de significados y conceptos en una base de datos.,Diseño y Modelado de Bases de Datos,"[Silberschatz, Korth & Sudarshan (2011). Database system concepts. McGraw Hill.] "
Esquema,Descripción de la estructura lógica de una base de datos.,Diseño y Modelado de Bases de Datos,[Elmasri & Navathe (2011). Sistemas de bases de datos. Pearson. (Recomendada por UDG)] 
Lenguaje SQL,Lenguaje de consulta estructurado utilizado para gestionar y manipular bases de datos relacionales.,Técnicas de Consulta y Optimización,[Elmasri & Navathe (2017). Fundamentals of Database Systems. Pearson. (Recomendada por UDG)]
Consulta Anidada,"Consulta que se encuentra dentro de otra consulta, y cuyo resultado es utilizado por la consulta externa.",Técnicas de Consulta y Optimización,[Elmasri & Navathe (2011). Sistemas de bases de datos. Pearson. (Recomendada por UDG)] 
Índice,"Estructura de datos que mejora la velocidad de las operaciones en una base de datos, creando una copia de un subconjunto de datos de una tabla.",Técnicas de Consulta y Optimización,"[Silberschatz, Korth & Sudarshan (2011). Database system concepts. McGraw Hill.] "
Join,Operación que combina filas de dos o más tablas en función de una columna relacionada entre ellas.,Técnicas de Consulta y Optimización,[Elmasri & Navathe (2017). Fundamentals of Database Systems. Pearson. (Recomendada por UDG)]
Plan de Ejecución,Representación gráfica o textual de las operaciones que realizará el sistema de gestión de bases de datos para ejecutar una consulta.,Técnicas de Consulta y Optimización,[Elmasri & Navathe (2011). Sistemas de bases de datos. Pearson. (Recomendada por UDG)] 
Optimizador de Consultas,Componente de un sistema de gestión de bases de datos que intenta determinar la forma más eficiente de ejecutar una consulta.,Técnicas de Consulta y Optimización,"[Silberschatz, Korth & Sudarshan (2011). Database system concepts. McGraw Hill.] "
Subconsulta,Consulta que se utiliza para recuperar datos que serán utilizados en la consulta principal como condición.,Técnicas de Consulta y Optimización,[Elmasri & Navathe (2017). Fundamentals of Database Systems. Pearson. (Recomendada por UDG)]
Vista,Representación virtual de una tabla o combinación de tablas.,Técnicas de Consulta y Optimización,[Elmasri & Navathe (2011). Sistemas de bases de datos. Pearson. (Recomendada por UDG)] 
Funciones de Agregación,"Funciones que operan sobre un conjunto de valores y retornan un único valor (e.g., SUM, AVG, COUNT).",Técnicas de Consulta y Optimización,"[Silberschatz, Korth & Sudarshan (2011). Database system concepts. McGraw Hill.] "
Cláusula WHERE,Cláusula en SQL que se utiliza para filtrar registros basándose en una condición.,Técnicas de Consulta y Optimización,[Elmasri & Navathe (2017). Fundamentals of Database Systems. Pearson. (Recomendada por UDG)]
Cláusula GROUP BY,Cláusula en SQL que se utiliza para agrupar registros que tienen los mismos valores en campos específicos.,Técnicas de Consulta y Optimización,[Elmasri & Navathe (2017). Fundamentals of Database Systems. Pearson. (Recomendada por UDG)]
Cláusula HAVING,Cláusula en SQL que permite filtrar los resultados de una consulta después de aplicar GROUP BY.,Técnicas de Consulta y Optimización,[Elmasri & Navathe (2011). Sistemas de bases de datos. Pearson. (Recomendada por UDG)] 
Trigger,Procedimiento que se ejecuta automáticamente en respuesta a ciertos eventos en una base de datos.,Técnicas de Consulta y Optimización,"[Silberschatz, Korth & Sudarshan (2011). Database system concepts. McGraw Hill.] "
Cursor,Herramienta que permite recorrer los registros de un conjunto de resultados de una consulta SQL.,Técnicas de Consulta y Optimización,[Elmasri & Navathe (2017). Fundamentals of Database Systems. Pearson. (Recomendada por UDG)]
Desnormalización,Proceso de introducir redundancia en una base de datos para mejorar el rendimiento de consulta.,Técnicas de Consulta y Optimización,[Elmasri & Navathe (2011). Sistemas de bases de datos. Pearson. (Recomendada por UDG)] 
Procedimiento Almacenado,Conjunto de instrucciones SQL que se guardan y pueden ser reutilizadas múltiples veces.,Técnicas de Consulta y Optimización,[Elmasri & Navathe (2017). Fundamentals of Database Systems. Pearson. (Recomendada por UDG)]
Función Definida por el Usuario,Función creada por el usuario para llevar a cabo acciones específicas en una base de datos.,Técnicas de Consulta y Optimización,[Elmasri & Navathe (2011). Sistemas de bases de datos. Pearson. (Recomendada por UDG)] 
Búsqueda Full text,Técnica de consulta que permite buscar palabras o frases en campos de texto completo de una base de datos.,Técnicas de Consulta y Optimización,"[Silberschatz, Korth & Sudarshan (2011). Database system concepts. McGraw Hill.] "
Caching de Consultas,Técnica de almacenamiento en memoria de consultas frecuentes para mejorar el rendimiento de la base de datos.,Técnicas de Consulta y Optimización,[Elmasri & Navathe (2017). Fundamentals of Database Systems. Pearson. (Recomendada por UDG)]
Transacción,Secuencia de operaciones que representan una unidad lógica de trabajo y que se ejecutan de manera completa o no se ejecutan en absoluto.,Técnicas de Consulta y Optimización,[Elmasri & Navathe (2017). Fundamentals of Database Systems. Pearson. (Recomendada por UDG)]
Control de Concurrencia,Técnicas y estrategias para garantizar que varias transacciones se ejecuten simultáneamente sin interferir entre sí.,Técnicas de Consulta y Optimización,"[Silberschatz, Korth & Sudarshan (2011). Database system concepts. McGraw Hill.] "
Bloqueo,Mecanismo que evita el acceso simultáneo a un recurso de la base de datos por múltiples transacciones.,Técnicas de Consulta y Optimización,[Elmasri & Navathe (2011). Sistemas de bases de datos. Pearson. (Recomendada por UDG)] 
Protocolo de Commit de Dos Fases,Protocolo que garantiza la atomicidad y durabilidad de una transacción en un sistema distribuido.,Técnicas de Consulta y Optimización,"[Silberschatz, Korth & Sudarshan (2011). Database system concepts. McGraw Hill.] "
Hashing,"Técnica que transforma una clave o una dirección en una ubicación en una estructura de datos, como un índice.",Técnicas de Consulta y Optimización,[Elmasri & Navathe (2011). Sistemas de bases de datos. Pearson. (Recomendada por UDG)] 
Replicación,Proceso de almacenar copias de la misma data en múltiples ubicaciones para mejorar la disponibilidad y rendimiento.,Técnicas de Consulta y Optimización,"[Silberschatz, Korth & Sudarshan (2011). Database system concepts. McGraw Hill.] "
Distribución Horizontal,Método de distribución de datos en el que las filas de una tabla se dividen entre diferentes ubicaciones.,Técnicas de Consulta y Optimización,[Elmasri & Navathe (2017). Fundamentals of Database Systems. Pearson. (Recomendada por UDG)]
Autómata Finito Determinista (AFD),"Un modelo matemático que consiste en un conjunto de estados, un alfabeto de entrada, una función de transición, un estado inicial y un conjunto de estados finales. Es determinista ya que para cada entrada y estado actual, hay un único estado siguiente.",Autómatas y Lenguajes Formales,"[Hopcroft, J. E., Motwani, R., & Ullman, J. D. (2007). Teoría de autómatas, lenguajes y computación. Pearson educación. (Recomendada por UDG)] "
Autómata Finito No Determinista (AFND),"Similar al AFD, pero permite múltiples transiciones posibles para un estado dado y un símbolo de entrada.",Autómatas y Lenguajes Formales,"[Hopcroft, J. E., Motwani, R., & Ullman, J. D. (2007). Teoría de autómatas, lenguajes y computación. Pearson educación. (Recomendada por UDG)] "
Expresión Regular,"Una cadena que representa un conjunto específico de cadenas, proporcionando una forma concisa de describir un lenguaje regular.",Autómatas y Lenguajes Formales,"[Jurado, M.E. (2008). Teoría de autómatas y lenguajes formales. Universidad de Extremadura. (Recomendada por UDG)] "
Gramática Libre de Contexto (GLC),Un conjunto de reglas de producción para generar cadenas en un lenguaje. Es más general que las gramáticas regulares y puede describir lenguajes que no son regulares.,Autómatas y Lenguajes Formales,"[Sipser, M. (2012). Introduction to the Theory of Computation. Cengage Learning. (Recomendada por UDG)] "
Autómata de Pila,Un tipo de máquina abstracta que utiliza una pila para procesar lenguajes libres de contexto.,Autómatas y Lenguajes Formales,"[Hopcroft, J. E., Motwani, R., & Ullman, J. D. (2007). Teoría de autómatas, lenguajes y computación. Pearson educación. (Recomendada por UDG)] "
Lenguaje Regular,Un lenguaje que puede ser reconocido por un autómata finito o representado por una expresión regular.,Autómatas y Lenguajes Formales,"[Jurado, M.E. (2008). Teoría de autómatas y lenguajes formales. Universidad de Extremadura. (Recomendada por UDG)] "
Lenguaje Libre de Contexto,Un lenguaje que puede ser reconocido por un autómata de pila o generado por una gramática libre de contexto.,Autómatas y Lenguajes Formales,"[Sipser, M. (2012). Introduction to the Theory of Computation. Cengage Learning. (Recomendada por UDG)] "
Cierre de Kleene,Operador utilizado en expresiones regulares que indica cero o más repeticiones de la expresión anterior.,Autómatas y Lenguajes Formales,"[Jurado, M.E. (2008). Teoría de autómatas y lenguajes formales. Universidad de Extremadura. (Recomendada por UDG)] "
Concatenación,Operación que une dos cadenas o dos lenguajes.,Autómatas y Lenguajes Formales,"[Hopcroft, J. E., Motwani, R., & Ullman, J. D. (2007). Teoría de autómatas, lenguajes y computación. Pearson educación. (Recomendada por UDG)] "
Unión (Lenguaje Formal),"Operación que combina dos lenguajes en uno, conteniendo todas las cadenas de ambos lenguajes.",Autómatas y Lenguajes Formales,"[Sipser, M. (2012). Introduction to the Theory of Computation. Cengage Learning. (Recomendada por UDG)] "
Estado,Una configuración específica dentro de un autómata que indica una posición particular en el proceso de reconocimiento de una cadena.,Autómatas y Lenguajes Formales,"[Hopcroft, J. E., Motwani, R., & Ullman, J. D. (2007). Teoría de autómatas, lenguajes y computación. Pearson educación. (Recomendada por UDG)] "
Transición,El movimiento de un estado a otro en un autómata en respuesta a un símbolo de entrada.,Autómatas y Lenguajes Formales,"[Hopcroft, J. E., Motwani, R., & Ullman, J. D. (2007). Teoría de autómatas, lenguajes y computación. Pearson educación. (Recomendada por UDG)] "
Estado Aceptador,Estado en un autómata que representa la aceptación de una cadena.,Autómatas y Lenguajes Formales,"[Jurado, M.E. (2008). Teoría de autómatas y lenguajes formales. Universidad de Extremadura. (Recomendada por UDG)] "
Estado Rechazador,Estado en un autómata que representa la no aceptación de una cadena.,Autómatas y Lenguajes Formales,"[Sipser, M. (2012). Introduction to the Theory of Computation. Cengage Learning. (Recomendada por UDG)] "
Alfabeto,Conjunto finito de símbolos que se utilizan para formar cadenas en un lenguaje.,Autómatas y Lenguajes Formales,"[Hopcroft, J. E., Motwani, R., & Ullman, J. D. (2007). Teoría de autómatas, lenguajes y computación. Pearson educación. (Recomendada por UDG)] "
Cadena,Secuencia finita de símbolos tomados de un alfabeto.,Autómatas y Lenguajes Formales,"[Jurado, M.E. (2008). Teoría de autómatas y lenguajes formales. Universidad de Extremadura. (Recomendada por UDG)] "
Autómata con Salida,Un autómata que produce una salida para cada símbolo de entrada procesado.,Autómatas y Lenguajes Formales,"[Sipser, M. (2012). Introduction to the Theory of Computation. Cengage Learning. (Recomendada por UDG)] "
Diagrama de Transición,Representación gráfica de un autómata donde los estados son representados por círculos y las transiciones por flechas.,Autómatas y Lenguajes Formales,"[Hopcroft, J. E., Motwani, R., & Ullman, J. D. (2007). Teoría de autómatas, lenguajes y computación. Pearson educación. (Recomendada por UDG)] "
Gramática Regular,Una gramática que genera un lenguaje regular.,Autómatas y Lenguajes Formales,"[Jurado, M.E. (2008). Teoría de autómatas y lenguajes formales. Universidad de Extremadura. (Recomendada por UDG)] "
Autómata de Estado Finito,"Es un modelo matemático que representa un conjunto finito de estados, transiciones entre estos estados, un estado inicial y un conjunto de estados de aceptación.",Autómatas y Lenguajes Formales,"[Sipser, M. (2012). Introduction to the Theory of Computation. Cengage Learning. (Recomendada por UDG)] "
Máquina de Turing,Modelo matemático de una máquina hipotética que utiliza una cinta infinita y un conjunto de reglas para determinar un cálculo.,Máquinas de Turing y Computabilidad,"[Hopcroft, J. E., Motwani, R., & Ullman, J. D. (2007). Teoría de autómatas, lenguajes y computación. Pearson educación. (Recomendada por UDG)] "
Computabilidad,"Estudio de problemas para determinar si son solucionables o no, y en caso afirmativo, cuán eficientemente pueden ser resueltos.",Máquinas de Turing y Computabilidad,"[Sipser, M. (2012). Introduction to the Theory of Computation. Cengage Learning. (Recomendada por UDG)] "
Problema del Paro,"Problema de decisión que pregunta si, dada una descripción de una máquina de Turing arbitraria y una entrada, la máquina se detendrá o continuará indefinidamente.",Máquinas de Turing y Computabilidad,"[Hopcroft, J. E., Motwani, R., & Ullman, J. D. (2007). Teoría de autómatas, lenguajes y computación. Pearson educación. (Recomendada por UDG)] "
Función Computable,Una función que puede ser calculada por una máquina de Turing en un número finito de pasos.,Máquinas de Turing y Computabilidad,"[Jurado, M.E. (2008). Teoría de autómatas y lenguajes formales. Universidad de Extremadura. (Recomendada por UDG)] "
Máquina de Turing Universal,Una máquina de Turing que puede simular cualquier otra máquina de Turing.,Máquinas de Turing y Computabilidad,"[Sipser, M. (2012). Introduction to the Theory of Computation. Cengage Learning. (Recomendada por UDG)] "
Máquina de Turing Determinista,Máquina de Turing donde cada estado tiene exactamente una transición para cada símbolo de entrada.,Máquinas de Turing y Computabilidad,"[Hopcroft, J. E., Motwani, R., & Ullman, J. D. (2007). Teoría de autómatas, lenguajes y computación. Pearson educación. (Recomendada por UDG)] "
Máquina de Turing No Determinista,Máquina de Turing que permite múltiples transiciones para un símbolo de entrada y estado dado.,Máquinas de Turing y Computabilidad,"[Jurado, M.E. (2008). Teoría de autómatas y lenguajes formales. Universidad de Extremadura. (Recomendada por UDG)] "
Problema No Computable,Un problema para el cual no existe ningún algoritmo que siempre pueda dar una respuesta correcta en un tiempo finito.,Máquinas de Turing y Computabilidad,"[Sipser, M. (2012). Introduction to the Theory of Computation. Cengage Learning. (Recomendada por UDG)] "
Lenguaje Turing Decidible,Un lenguaje para el cual existe una máquina de Turing que acepta todas las cadenas en el lenguaje y rechaza todas las cadenas que no están en el lenguaje.,Máquinas de Turing y Computabilidad,"[Hopcroft, J. E., Motwani, R., & Ullman, J. D. (2007). Teoría de autómatas, lenguajes y computación. Pearson educación. (Recomendada por UDG)] "
Lenguaje Turing Reconocible,"Un lenguaje para el cual existe una máquina de Turing que acepta todas las cadenas en el lenguaje, pero podría no detenerse para cadenas que no están en el lenguaje.",Máquinas de Turing y Computabilidad,"[Jurado, M.E. (2008). Teoría de autómatas y lenguajes formales. Universidad de Extremadura. (Recomendada por UDG)] "
Tesis de Church Turing,Proposición que sostiene que cualquier función computable puede ser calculada por una máquina de Turing.,Máquinas de Turing y Computabilidad,"[Sipser, M. (2012). Introduction to the Theory of Computation. Cengage Learning. (Recomendada por UDG)] "
Complejidad Computacional,Estudio de la cantidad de recursos (tiempo y espacio) necesarios para resolver problemas con máquinas de Turing.,Máquinas de Turing y Computabilidad,"[Hopcroft, J. E., Motwani, R., & Ullman, J. D. (2007). Teoría de autómatas, lenguajes y computación. Pearson educación. (Recomendada por UDG)] "
Clase P,Conjunto de problemas que pueden ser resueltos en tiempo polinomial por una máquina de Turing determinista.,Máquinas de Turing y Computabilidad,"[Jurado, M.E. (2008). Teoría de autómatas y lenguajes formales. Universidad de Extremadura. (Recomendada por UDG)] "
Clase NP,Conjunto de problemas para los cuales una solución puede ser verificada en tiempo polinomial por una máquina de Turing determinista.,Máquinas de Turing y Computabilidad,"[Sipser, M. (2012). Introduction to the Theory of Computation. Cengage Learning. (Recomendada por UDG)] "
Cinta de Turing,"Medio de almacenamiento infinito que utiliza una máquina de Turing para leer, escribir y moverse hacia la izquierda o hacia la derecha.",Máquinas de Turing y Computabilidad,"[Jurado, M.E. (2008). Teoría de autómatas y lenguajes formales. Universidad de Extremadura. (Recomendada por UDG)] "
Estado de Aceptación,Estado en una máquina de Turing que indica que una cadena de entrada pertenece al lenguaje que la máquina reconoce.,Máquinas de Turing y Computabilidad,"[Sipser, M. (2012). Introduction to the Theory of Computation. Cengage Learning. (Recomendada por UDG)] "
Estado de Rechazo,Estado en una máquina de Turing que indica que una cadena de entrada no pertenece al lenguaje que la máquina reconoce.,Máquinas de Turing y Computabilidad,"[Hopcroft, J. E., Motwani, R., & Ullman, J. D. (2007). Teoría de autómatas, lenguajes y computación. Pearson educación. (Recomendada por UDG)] "
Reducción Polinomial,Técnica utilizada para demostrar que un problema es NP completo al mostrar que cualquier problema en NP puede ser transformado en el problema en cuestión en tiempo polinomial.,Máquinas de Turing y Computabilidad,"[Jurado, M.E. (2008). Teoría de autómatas y lenguajes formales. Universidad de Extremadura. (Recomendada por UDG)] "
Función de Transición,Función que determina el comportamiento de una máquina de Turing al especificar cómo se debe mover y qué símbolos escribir.,Máquinas de Turing y Computabilidad,"[Sipser, M. (2012). Introduction to the Theory of Computation. Cengage Learning. (Recomendada por UDG)] "
Problema de la Decidibilidad,Problema para el cual existe una máquina de Turing que acepta todas las cadenas de entrada que son una solución y rechaza todas las demás.,Máquinas de Turing y Computabilidad,"[Jurado, M.E. (2008). Teoría de autómatas y lenguajes formales. Universidad de Extremadura. (Recomendada por UDG)] "
Problema de Correspondencia de Post,"Problema de decidir si, dadas dos listas de cadenas, existe una forma de seleccionar y reordenar las cadenas de la primera lista para que coincidan con las de la segunda lista.",Máquinas de Turing y Computabilidad,"[Sipser, M. (2012). Introduction to the Theory of Computation. Cengage Learning. (Recomendada por UDG)] "
Jerarquía de Chomsky,"Clasificación de lenguajes formales en función de su expresividad, desde máquinas de Turing hasta gramáticas regulares.",Máquinas de Turing y Computabilidad,"[Hopcroft, J. E., Motwani, R., & Ullman, J. D. (2007). Teoría de autómatas, lenguajes y computación. Pearson educación. (Recomendada por UDG)] "
Lenguajes Sensibles al Contexto,Lenguajes que pueden ser reconocidos por una máquina de Turing con una cinta y una pila.,Máquinas de Turing y Computabilidad,"[Jurado, M.E. (2008). Teoría de autómatas y lenguajes formales. Universidad de Extremadura. (Recomendada por UDG)] "
Autómata Linealmente Acotado,Máquina de Turing con una cinta de longitud limitada por la longitud de la entrada más una constante.,Máquinas de Turing y Computabilidad,"[Sipser, M. (2012). Introduction to the Theory of Computation. Cengage Learning. (Recomendada por UDG)] "
Instrucción de Máquina,Comando o operación que el procesador es capaz de reconocer y ejecutar.,Ensamblador y Arquitectura de Máquina,"[Jorgensen, E. (2016). X86 64 Assembly Language programming with Ubuntu. (Recomendado por UDG)] "
Modo protegido,Modo de operación en procesadores x86 que proporciona características avanzadas como la multitarea y la protección de memoria.,Ensamblador y Arquitectura de Máquina,"[Jorgensen, E. (2016). X86 64 Assembly Language programming with Ubuntu. (Recomendado por UDG)] "
Directiva de Ensamblador,Instrucción que proporciona dirección al ensamblador sobre el proceso de ensamblaje.,Ensamblador y Arquitectura de Máquina,"[Jorgensen, E. (2016). X86 64 Assembly Language programming with Ubuntu. (Recomendado por UDG)] "
Interrupción,Señal que informa al procesador sobre un evento que necesita atención inmediata.,Ensamblador y Arquitectura de Máquina,"[Jorgensen, E. (2016). X86 64 Assembly Language programming with Ubuntu. (Recomendado por UDG)] "
Lenguaje de Máquina,Lenguaje de bajo nivel que es directamente entendido por la máquina.,Ensamblador y Arquitectura de Máquina,"[Levine, J. (2000). Linkers and loaders. Morgan Kaufmann Publishers. (Recomendado por UDG)] "
Modo Real,Modo operativo de los procesadores x86 utilizado principalmente para ejecución de código de 16 bits en sistemas antiguos.,Ensamblador y Arquitectura de Máquina,"[Jorgensen, E. (2016). X86 64 Assembly Language programming with Ubuntu. (Recomendado por UDG)] "
Operandos,"Valores con los que opera una instrucción. Pueden ser registros, direcciones de memoria o valores inmediatos.",Ensamblador y Arquitectura de Máquina,"[Neveln, B. (2000). Linux Assembly Language Programming. (Recomendado por UDG)] "
Assembler,Herramienta que convierte el código fuente escrito en lenguaje ensamblador a lenguaje de máquina.,Ensamblador y Arquitectura de Máquina,"[Hyde, R. (2010). The art of assembly language. No Starch Press. (Recomendado por UDG)] "
Directiva,Instrucción que proporciona al ensamblador información sobre ciertos aspectos del proceso de ensamblado.,Ensamblador y Arquitectura de Máquina,"[Streib, J. T. (2011). Guide to assembly language. Springer. (Recomendado por UDG)] "
Opcode,Código de operación que especifica la operación que se realizará en una instrucción de lenguaje de máquina.,Ensamblador y Arquitectura de Máquina,"[Hyde, R. (2010). The art of assembly language. No Starch Press. (Recomendado por UDG)] "
Puntero de Instrucción,Registro que apunta a la siguiente instrucción a ser ejecutada en el programa.,Ensamblador y Arquitectura de Máquina,"[Levine, J. R. (2000). Linkers and loaders. Morgan Kaufmann Publishers. (Recomendado por UDG)] "
Bucle,Secuencia de instrucciones que se repite hasta que se cumpla una determinada condición.,Ensamblador y Arquitectura de Máquina,"[Hyde, R. (2010). The art of assembly language. No Starch Press. (Recomendado por UDG)] "
Macro,Conjunto de instrucciones que se pueden invocar como una sola instrucción y pueden ser definidas por el programador.,Ensamblador y Arquitectura de Máquina,"[Streib, J. T. (2011). Guide to assembly language. Springer. (Recomendado por UDG)] "
Registro de Segmento,Registro que contiene direcciones que se refieren a segmentos específicos en la memoria.,Ensamblador y Arquitectura de Máquina,"[Jorgensen, E. (2016). X86 64 Assembly Language programming with Ubuntu. (Recomendado por UDG)] "
Desplazamiento,Operación que mueve bits dentro de un registro o ubicación de memoria a la izquierda o derecha.,Ensamblador y Arquitectura de Máquina,"[Streib, J. T. (2011). Guide to assembly language. Springer. (Recomendado por UDG)] "
Flags o Banderas,Indicadores en un registro que representan el estado después de una operación aritmética.,Ensamblador y Arquitectura de Máquina,"[Levine, J. R. (2000). Linkers and loaders. Morgan Kaufmann Publishers. (Recomendado por UDG)] "
Pila,"Zona de memoria utilizada para almacenar datos de manera temporal, generalmente para funciones y procedimientos.",Ensamblador y Arquitectura de Máquina,"[Jorgensen, E. (2016). X86 64 Assembly Language programming with Ubuntu. (Recomendado por UDG)] "
Instrucción NOP,Instrucción que no realiza ninguna operación y a menudo se utiliza para retrasos o para modificar el código sin cambiar su comportamiento.,Ensamblador y Arquitectura de Máquina,"[Hyde, R. (2010). The art of assembly language. No Starch Press. (Recomendado por UDG)] "
Inmediato,Tipo de operando que es una constante o un valor literal en una instrucción.,Ensamblador y Arquitectura de Máquina,"[Neveln, B. (2000). Linux Assembly Language Programming. (Recomendado por UDG)] "
Puntero de Pila,Registro que apunta a la parte superior de la pila en la memoria.,Ensamblador y Arquitectura de Máquina,"[Levine, J. R. (2000). Linkers and loaders. Morgan Kaufmann Publishers. (Recomendado por UDG)] "
Sistema de Ecuaciones Lineales,Conjunto de ecuaciones donde cada una es una ecuación lineal.,Estructuras Básicas del Álgebra Lineal,"[Grossman, Stanley I. (2012). Álgebra Lineal. McGraw Hill (Recomendada por UDG)] "
Operaciones con Matrices,"Procesos como la suma, resta, multiplicación y transposición de matrices.",Estructuras Básicas del Álgebra Lineal,"[Larson, Ron (2015). Fundamentos de Álgebra Lineal. CENGAGE Learning (Recomendada por UDG)] "
Determinante,Número asociado a una matriz cuadrada que ofrece información sobre sus propiedades.,Estructuras Básicas del Álgebra Lineal,"[Lay, David C. (2013). Álgebra Lineal para cursos con enfoque por competencias. Pearson (Recomendada por UDG)] "
Matriz Inversa,"Matriz que, cuando se multiplica por su matriz original, da como resultado la matriz identidad.",Estructuras Básicas del Álgebra Lineal,"[Grossman, Stanley I. (2012). Álgebra Lineal. McGraw Hill (Recomendada por UDG)] "
Matriz Identidad,Matriz cuadrada que tiene 1s en su diagonal principal y 0s en el resto de sus entradas.,Estructuras Básicas del Álgebra Lineal,"[Larson, Ron (2015). Fundamentos de Álgebra Lineal. CENGAGE Learning (Recomendada por UDG)] "
Espacio Fila y Espacio Columna,Subespacios generados por las filas o columnas de una matriz.,Estructuras Básicas del Álgebra Lineal,"[Lay, David C. (2013). Álgebra Lineal para cursos con enfoque por competencias. Pearson (Recomendada por UDG)] "
Rango de una Matriz,Número máximo de columnas linealmente independientes en una matriz.,Estructuras Básicas del Álgebra Lineal,"[Grossman, Stanley I. (2012). Álgebra Lineal. McGraw Hill (Recomendada por UDG)] "
Matriz Transpuesta,Matriz obtenida al intercambiar filas por columnas de la matriz original.,Estructuras Básicas del Álgebra Lineal,"[Larson, Ron (2015). Fundamentos de Álgebra Lineal. CENGAGE Learning (Recomendada por UDG)] "
Base,Conjunto de vectores linealmente independientes que generan un espacio vectorial.,Estructuras Básicas del Álgebra Lineal,"[Larson, Ron (2015). Fundamentos de Álgebra Lineal. CENGAGE Learning (Recomendada por UDG)] "
Espacio Nulo,Conjunto de soluciones del sistema homogéneo asociado a una matriz.,Estructuras Básicas del Álgebra Lineal,"[Lay, David C. (2013). Álgebra Lineal para cursos con enfoque por competencias. Pearson (Recomendada por UDG)] "
Subespacio Vectorial,Subconjunto de un espacio vectorial que es también un espacio vectorial bajo las mismas operaciones.,Estructuras Básicas del Álgebra Lineal,"[Grossman, Stanley I. (2012). Álgebra Lineal. McGraw Hill (Recomendada por UDG)] "
Combinación Lineal,Expresión que representa un vector como suma de múltiplos escalares de otros vectores.,Estructuras Básicas del Álgebra Lineal,"[Larson, Ron (2015). Fundamentos de Álgebra Lineal. CENGAGE Learning (Recomendada por UDG)] "
